PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;couponer.1.2/couponer.php;mysql_fetch_assoc;212;UNKNOWN;not executed;$result_get_coupon_active;couponer_options ($result_get_coupon_active);61;212  								while ($row_get_coupon_active = mysql_fetch_assoc($result_get_coupon_active)) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=212&line_end=212&variable_name=mysql_fetch_assoc&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_query;215;SQL Injection;not executed;$check_exp;couponer_options ($check_exp);61;215  									$result_get_coupon_exp = mysql_query($check_exp)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=215&line_end=215&variable_name=mysql_query&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_fetch_assoc;216;UNKNOWN;not executed;$result_get_coupon_exp;couponer_options ($result_get_coupon_exp);61;216  									$row_exp = mysql_fetch_assoc($result_get_coupon_exp)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=216&line_end=216&variable_name=mysql_fetch_assoc&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;219;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;219  										<td><img src="<?php echo $row_get_coupon_active['Image']## ?>" style="max-width:90px##max-height:90px##" /></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=219&line_end=219&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;220;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;220  										<td><?php echo $row_get_coupon_active['ID']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=220&line_end=220&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;221;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;221  										<td><?php echo $row_get_coupon_active['Title']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=221&line_end=221&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;222;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;222  										<td><?php echo $row_get_coupon_active['Description']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=222&line_end=222&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;223;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;223  										<td><?php echo $row_get_coupon_active['Terms']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=223&line_end=223&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;224;Cross Site Scripting;not executed;;couponer_options ();61;224  										<td<?php if ($row_exp['Expires']==$row_get_coupon_active['Expires']) { echo ' style="font-weight:bold##color:#d90000##"'## } ?>><?php echo $row_get_coupon_active['Expires']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=224&line_end=224&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;224;Cross Site Scripting;not executed;;couponer_options ();61;224  										<td<?php if ($row_exp['Expires']==$row_get_coupon_active['Expires']) { echo ' style="font-weight:bold##color:#d90000##"'## } ?>><?php echo $row_get_coupon_active['Expires']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=224&line_end=224&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;225;Cross Site Scripting;not executed;;couponer_options ();61;225  										<td><?php echo $row_get_coupon_active['Created']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=225&line_end=225&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;bloginfo;226;UNKNOWN;not executed;;couponer_options ();61;226  										<td><a href="<?php bloginfo('url')## ?>/wp-content/plugins/couponer/process-coupon.php?mode=deactivate&ID=<?php echo $row_get_coupon_active['ID']## ?>">Deactivate</a> | <a onclick="deleteActive()" href="#">Delete</a></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=226&line_end=226&variable_name=bloginfo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;226;Cross Site Scripting;not executed;;couponer_options ();61;226  										<td><a href="<?php bloginfo('url')## ?>/wp-content/plugins/couponer/process-coupon.php?mode=deactivate&ID=<?php echo $row_get_coupon_active['ID']## ?>">Deactivate</a> | <a onclick="deleteActive()" href="#">Delete</a></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=226&line_end=226&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;bloginfo;233;UNKNOWN;not executed;;couponer_options ();61;233  											window.location = "<?php bloginfo('url')## ?>/wp-content/plugins/couponer/process-coupon.php?mode=delete&ID=<?php echo $row_get_coupon_active['ID']## ?>"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=233&line_end=233&variable_name=bloginfo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;233;Cross Site Scripting;not executed;$result_get_coupon_active;couponer_options ($result_get_coupon_active);61;233  											window.location = "<?php bloginfo('url')## ?>/wp-content/plugins/couponer/process-coupon.php?mode=delete&ID=<?php echo $row_get_coupon_active['ID']## ?>"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=233&line_end=233&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_free_result;243;UNKNOWN;not executed;$result_get_coupon_active;couponer_options ($result_get_coupon_active);61;243  								mysql_free_result($result_get_coupon_active)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=243&line_end=243&variable_name=mysql_free_result&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_query;265;SQL Injection;not executed;$sql_get_coupon_active;couponer_options ($sql_get_coupon_active);61;265  								$result_get_coupon_active = mysql_query($sql_get_coupon_active)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=265&line_end=265&variable_name=mysql_query&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;267;Cross Site Scripting;not executed;$result_get_coupon_active;couponer_options ($result_get_coupon_active);61;267  								   echo '<tr><td colspan="7">Could not successfully run query ($sql_get_coupon_active) from DB: </strong>" . mysql_error()."</td></tr>'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=267&line_end=267&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_num_rows;269;UNKNOWN;not executed;$result_get_coupon_active;couponer_options ($result_get_coupon_active);61;269  								if (mysql_num_rows($result_get_coupon_active) == 0) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=269&line_end=269&variable_name=mysql_num_rows&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;270;Cross Site Scripting;not executed;$row_get_coupon_active, $result_get_coupon_active;couponer_options ($row_get_coupon_active, $result_get_coupon_active);61;270  									echo '<tr><td colspan="7">You do not have any inactive coupons.</td></tr>'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=270&line_end=270&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_fetch_assoc;273;UNKNOWN;not executed;$result_get_coupon_active;couponer_options ($result_get_coupon_active);61;273  								while ($row_get_coupon_active = mysql_fetch_assoc($result_get_coupon_active)) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=273&line_end=273&variable_name=mysql_fetch_assoc&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_query;276;SQL Injection;not executed;$check_exp;couponer_options ($check_exp);61;276  									$result_get_coupon_exp = mysql_query($check_exp)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=276&line_end=276&variable_name=mysql_query&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_fetch_assoc;277;UNKNOWN;not executed;$result_get_coupon_exp;couponer_options ($result_get_coupon_exp);61;277  									$row_exp = mysql_fetch_assoc($result_get_coupon_exp)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=277&line_end=277&variable_name=mysql_fetch_assoc&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;281;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;281  										<td><img src="<?php echo $row_get_coupon_active['Image']## ?>" style="max-width:90px##max-height:90px##" /></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=281&line_end=281&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;282;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;282  										<td><?php echo $row_get_coupon_active['ID']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=282&line_end=282&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;283;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;283  										<td><?php echo $row_get_coupon_active['Title']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=283&line_end=283&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;284;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;284  										<td><?php echo $row_get_coupon_active['Description']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=284&line_end=284&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;285;Cross Site Scripting;not executed;$row_exp, $row_get_coupon_active;couponer_options ($row_exp, $row_get_coupon_active);61;285  										<td><?php echo $row_get_coupon_active['Terms']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=285&line_end=285&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;286;Cross Site Scripting;not executed;;couponer_options ();61;286  										<td<?php if ($row_exp['Expires']==$row_get_coupon_active['Expires']) { echo ' style="font-weight:bold##color:#d90000##"'## } ?>><?php echo $row_get_coupon_active['Expires']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=286&line_end=286&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;286;Cross Site Scripting;not executed;;couponer_options ();61;286  										<td<?php if ($row_exp['Expires']==$row_get_coupon_active['Expires']) { echo ' style="font-weight:bold##color:#d90000##"'## } ?>><?php echo $row_get_coupon_active['Expires']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=286&line_end=286&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;287;Cross Site Scripting;not executed;;couponer_options ();61;287  										<td><?php echo $row_get_coupon_active['Created']## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=287&line_end=287&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;bloginfo;288;UNKNOWN;not executed;;couponer_options ();61;288  										<td><a href="<?php bloginfo('url')## ?>/wp-content/plugins/couponer/process-coupon.php?mode=activate&ID=<?php echo $row_get_coupon_active['ID']## ?>">Activate</a> | <a onclick="deleteInactive()" href="#">Delete</a></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=288&line_end=288&variable_name=bloginfo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;288;Cross Site Scripting;not executed;;couponer_options ();61;288  										<td><a href="<?php bloginfo('url')## ?>/wp-content/plugins/couponer/process-coupon.php?mode=activate&ID=<?php echo $row_get_coupon_active['ID']## ?>">Activate</a> | <a onclick="deleteInactive()" href="#">Delete</a></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=288&line_end=288&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;bloginfo;295;UNKNOWN;not executed;;couponer_options ();61;295  											window.location = "<?php bloginfo('url')## ?>/wp-content/plugins/couponer/process-coupon.php?mode=delete&ID=<?php echo $row_get_coupon_active['ID']## ?>"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=295&line_end=295&variable_name=bloginfo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;295;Cross Site Scripting;not executed;$result_get_coupon_active;couponer_options ($result_get_coupon_active);61;295  											window.location = "<?php bloginfo('url')## ?>/wp-content/plugins/couponer/process-coupon.php?mode=delete&ID=<?php echo $row_get_coupon_active['ID']## ?>"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=295&line_end=295&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;mysql_free_result;305;UNKNOWN;not executed;$result_get_coupon_active;couponer_options ($result_get_coupon_active);61;305  								mysql_free_result($result_get_coupon_active)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=305&line_end=305&variable_name=mysql_free_result&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;314;Cross Site Scripting;not executed;;couponer_options ();61;314  					echo '</div>'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=314&line_end=314&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;323;Cross Site Scripting;not executed;;display_coupons ();321;323  		echo '<link type="text/css" rel="stylesheet" href="' . get_bloginfo('url') . '/wp-content/plugins/couponer/couponer.css" />' . "\n"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=323&line_end=323&variable_name=echo&text=File Functions#target_mark
