PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;calendar.1.3.3/calendar.php;__;125;Cross Site Scripting;not executed;;calendar_menu ();105;125         add_menu_page(__('Calendar','calendar'), __('Calendar','calendar'), $allowed_group, 'calendar', 'edit_calendar')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=125&line_end=125&variable_name=__&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;__;125;Cross Site Scripting;not executed;;calendar_menu ();105;125         add_menu_page(__('Calendar','calendar'), __('Calendar','calendar'), $allowed_group, 'calendar', 'edit_calendar')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=125&line_end=125&variable_name=__&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;function_exists;127;UNKNOWN;not executed;;calendar_menu ();105;127     if (function_exists('add_submenu_page')) ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=127&line_end=127&variable_name=function_exists&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;add_submenu_page;129;UNKNOWN;not executed;$allowed_group;calendar_menu ($allowed_group);105;129         $calendar_manage_menu = add_submenu_page('calendar', __('Manage Calendar','calendar'), __('Manage Calendar','calendar'), $allowed_group, 'calendar', 'edit_calendar')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=129&line_end=129&variable_name=add_submenu_page&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;__;129;Cross Site Scripting;not executed;;calendar_menu ();105;129         $calendar_manage_menu = add_submenu_page('calendar', __('Manage Calendar','calendar'), __('Manage Calendar','calendar'), $allowed_group, 'calendar', 'edit_calendar')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=129&line_end=129&variable_name=__&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;__;129;Cross Site Scripting;not executed;;calendar_menu ();105;129         $calendar_manage_menu = add_submenu_page('calendar', __('Manage Calendar','calendar'), __('Manage Calendar','calendar'), $allowed_group, 'calendar', 'edit_calendar')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=129&line_end=129&variable_name=__&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;add_action;130;UNKNOWN;not executed;$calendar_manage_menu;calendar_menu ($calendar_manage_menu);105;130         add_action( "admin_head-".$calendar_manage_menu, 'calendar_add_javascript' )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=130&line_end=130&variable_name=add_action&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;add_submenu_page;132;UNKNOWN;not executed;;calendar_menu ();105;132         add_submenu_page('calendar', __('Manage Categories','calendar'), __('Manage Categories','calendar'), 'manage_options', 'calendar-categories', 'manage_categories')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=132&line_end=132&variable_name=add_submenu_page&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;__;132;Cross Site Scripting;not executed;;calendar_menu ();105;132         add_submenu_page('calendar', __('Manage Categories','calendar'), __('Manage Categories','calendar'), 'manage_options', 'calendar-categories', 'manage_categories')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=132&line_end=132&variable_name=__&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;__;132;Cross Site Scripting;not executed;;calendar_menu ();105;132         add_submenu_page('calendar', __('Manage Categories','calendar'), __('Manage Categories','calendar'), 'manage_options', 'calendar-categories', 'manage_categories')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=132&line_end=132&variable_name=__&text=File Functions#target_mark
